Rainfall - (MM), Year, Statistics, Country, ISO3
23.5797, 1991, Jan Average, Pakistan, PAK
42.6492, 1991, Feb Average, Pakistan, PAK
42.4584, 1991, Mar Average, Pakistan, PAK
43.043, 1991, Apr Average, Pakistan, PAK
26.5375, 1991, May Average, Pakistan, PAK
10.7911, 1991, Jun Average, Pakistan, PAK
20.3078, 1991, Jul Average, Pakistan, PAK
33.49, 1991, Aug Average, Pakistan, PAK
30.1148, 1991, Sep Average, Pakistan, PAK
2.17714, 1991, Oct Average, Pakistan, PAK
4.33636, 1991, Nov Average, Pakistan, PAK
9.12149, 1991, Dec Average, Pakistan, PAK
53.9661, 1992, Jan Average, Pakistan, PAK
29.1195, 1992, Feb Average, Pakistan, PAK
38.7504, 1992, Mar Average, Pakistan, PAK
40.764, 1992, Apr Average, Pakistan, PAK
23.8701, 1992, May Average, Pakistan, PAK
5.56877, 1992, Jun Average, Pakistan, PAK
54.8721, 1992, Jul Average, Pakistan, PAK
69.1804, 1992, Aug Average, Pakistan, PAK
28.7059, 1992, Sep Average, Pakistan, PAK
12.1746, 1992, Oct Average, Pakistan, PAK
7.92377, 1992, Nov Average, Pakistan, PAK
13.6849, 1992, Dec Average, Pakistan, PAK
29.6088, 1993, Jan Average, Pakistan, PAK
15.8378, 1993, Feb Average, Pakistan, PAK
32.1792, 1993, Mar Average, Pakistan, PAK
19.6552, 1993, Apr Average, Pakistan, PAK
15.3862, 1993, May Average, Pakistan, PAK
19.6844, 1993, Jun Average, Pakistan, PAK
73.2203, 1993, Jul Average, Pakistan, PAK
11.8972, 1993, Aug Average, Pakistan, PAK
18.1405, 1993, Sep Average, Pakistan, PAK
2.95508, 1993, Oct Average, Pakistan, PAK
9.43055, 1993, Nov Average, Pakistan, PAK
0.80544, 1993, Dec Average, Pakistan, PAK
19.5592, 1994, Jan Average, Pakistan, PAK
29.1929, 1994, Feb Average, Pakistan, PAK
23.597, 1994, Mar Average, Pakistan, PAK
26.8942, 1994, Apr Average, Pakistan, PAK
19.8453, 1994, May Average, Pakistan, PAK
21.5863, 1994, Jun Average, Pakistan, PAK
116.973, 1994, Jul Average, Pakistan, PAK
83.9455, 1994, Aug Average, Pakistan, PAK
42.8355, 1994, Sep Average, Pakistan, PAK
10.3939, 1994, Oct Average, Pakistan, PAK
3.08639, 1994, Nov Average, Pakistan, PAK
25.3666, 1994, Dec Average, Pakistan, PAK
9.26441, 1995, Jan Average, Pakistan, PAK
30.1864, 1995, Feb Average, Pakistan, PAK
23.1022, 1995, Mar Average, Pakistan, PAK
44.2381, 1995, Apr Average, Pakistan, PAK
11.1759, 1995, May Average, Pakistan, PAK
15.1367, 1995, Jun Average, Pakistan, PAK
97.9396, 1995, Jul Average, Pakistan, PAK
58.5468, 1995, Aug Average, Pakistan, PAK
21.9999, 1995, Sep Average, Pakistan, PAK
14.0496, 1995, Oct Average, Pakistan, PAK
5.24833, 1995, Nov Average, Pakistan, PAK
21.7521, 1995, Dec Average, Pakistan, PAK
