Temperature - (Celsius), Year, Statistics, Country, ISO3
8.2829, 1991, Jan Average, Pakistan, PAK
9.99503, 1991, Feb Average, Pakistan, PAK
15.5038, 1991, Mar Average, Pakistan, PAK
20.5152, 1991, Apr Average, Pakistan, PAK
25.1976, 1991, May Average, Pakistan, PAK
29.0619, 1991, Jun Average, Pakistan, PAK
29.3048, 1991, Jul Average, Pakistan, PAK
27.745, 1991, Aug Average, Pakistan, PAK
25.2474, 1991, Sep Average, Pakistan, PAK
20.1716, 1991, Oct Average, Pakistan, PAK
15.4148, 1991, Nov Average, Pakistan, PAK
11.6744, 1991, Dec Average, Pakistan, PAK
9.06016, 1992, Jan Average, Pakistan, PAK
10.5495, 1992, Feb Average, Pakistan, PAK
14.731, 1992, Mar Average, Pakistan, PAK
19.9273, 1992, Apr Average, Pakistan, PAK
24.9313, 1992, May Average, Pakistan, PAK
29.2299, 1992, Jun Average, Pakistan, PAK
28.4087, 1992, Jul Average, Pakistan, PAK
26.9621, 1992, Aug Average, Pakistan, PAK
24.2183, 1992, Sep Average, Pakistan, PAK
20.6592, 1992, Oct Average, Pakistan, PAK
15.64, 1992, Nov Average, Pakistan, PAK
12.1524, 1992, Dec Average, Pakistan, PAK
8.77164, 1993, Jan Average, Pakistan, PAK
13.2686, 1993, Feb Average, Pakistan, PAK
14.7936, 1993, Mar Average, Pakistan, PAK
21.6325, 1993, Apr Average, Pakistan, PAK
27.0292, 1993, May Average, Pakistan, PAK
28.9541, 1993, Jun Average, Pakistan, PAK
28.2827, 1993, Jul Average, Pakistan, PAK
27.834, 1993, Aug Average, Pakistan, PAK
25.8537, 1993, Sep Average, Pakistan, PAK
20.5806, 1993, Oct Average, Pakistan, PAK
16.4152, 1993, Nov Average, Pakistan, PAK
11.4759, 1993, Dec Average, Pakistan, PAK
9.52572, 1994, Jan Average, Pakistan, PAK
10.397, 1994, Feb Average, Pakistan, PAK
17.6477, 1994, Mar Average, Pakistan, PAK
20.3414, 1994, Apr Average, Pakistan, PAK
26.505, 1994, May Average, Pakistan, PAK
29.5395, 1994, Jun Average, Pakistan, PAK
28.2426, 1994, Jul Average, Pakistan, PAK
27.6323, 1994, Aug Average, Pakistan, PAK
23.8697, 1994, Sep Average, Pakistan, PAK
20.1672, 1994, Oct Average, Pakistan, PAK
16.8134, 1994, Nov Average, Pakistan, PAK
10.6588, 1994, Dec Average, Pakistan, PAK
8.65067, 1995, Jan Average, Pakistan, PAK
11.3525, 1995, Feb Average, Pakistan, PAK
14.7091, 1995, Mar Average, Pakistan, PAK
20.0073, 1995, Apr Average, Pakistan, PAK
26.1724, 1995, May Average, Pakistan, PAK
29.5621, 1995, Jun Average, Pakistan, PAK
28.7296, 1995, Jul Average, Pakistan, PAK
27.7186, 1995, Aug Average, Pakistan, PAK
25.2638, 1995, Sep Average, Pakistan, PAK
21.6044, 1995, Oct Average, Pakistan, PAK
15.3296, 1995, Nov Average, Pakistan, PAK
10.2254, 1995, Dec Average, Pakistan, PAK
8.36005, 1996, Jan Average, Pakistan, PAK
11.8006, 1996, Feb Average, Pakistan, PAK
16.9391, 1996, Mar Average, Pakistan, PAK
22.0081, 1996, Apr Average, Pakistan, PAK
25.0169, 1996, May Average, Pakistan, PAK
28.334, 1996, Jun Average, Pakistan, PAK
28.4034, 1996, Jul Average, Pakistan, PAK
27.0528, 1996, Aug Average, Pakistan, PAK
25.8551, 1996, Sep Average, Pakistan, PAK
20.3651, 1996, Oct Average, Pakistan, PAK
14.2503, 1996, Nov Average, Pakistan, PAK
9.9332, 1996, Dec Average, Pakistan, PAK
8.51052, 1997, Jan Average, Pakistan, PAK
11.0733, 1997, Feb Average, Pakistan, PAK
15.5146, 1997, Mar Average, Pakistan, PAK
19.9341, 1997, Apr Average, Pakistan, PAK
24.0034, 1997, May Average, Pakistan, PAK
27.8558, 1997, Jun Average, Pakistan, PAK
29.2669, 1997, Jul Average, Pakistan, PAK
27.3021, 1997, Aug Average, Pakistan, PAK
25.7255, 1997, Sep Average, Pakistan, PAK
19.8213, 1997, Oct Average, Pakistan, PAK
14.7835, 1997, Nov Average, Pakistan, PAK
9.54585, 1997, Dec Average, Pakistan, PAK
9.01244, 1998, Jan Average, Pakistan, PAK
10.9107, 1998, Feb Average, Pakistan, PAK
15.6202, 1998, Mar Average, Pakistan, PAK
22.8289, 1998, Apr Average, Pakistan, PAK
26.6166, 1998, May Average, Pakistan, PAK
28.533, 1998, Jun Average, Pakistan, PAK
29.0016, 1998, Jul Average, Pakistan, PAK
28.3712, 1998, Aug Average, Pakistan, PAK
25.8367, 1998, Sep Average, Pakistan, PAK
21.7597, 1998, Oct Average, Pakistan, PAK
15.5877, 1998, Nov Average, Pakistan, PAK
11.5113, 1998, Dec Average, Pakistan, PAK
8.62707, 1999, Jan Average, Pakistan, PAK
11.9247, 1999, Feb Average, Pakistan, PAK
16.6285, 1999, Mar Average, Pakistan, PAK
23.2143, 1999, Apr Average, Pakistan, PAK
26.8752, 1999, May Average, Pakistan, PAK
29.1077, 1999, Jun Average, Pakistan, PAK
29.2285, 1999, Jul Average, Pakistan, PAK
27.6811, 1999, Aug Average, Pakistan, PAK
26.6208, 1999, Sep Average, Pakistan, PAK
22.1888, 1999, Oct Average, Pakistan, PAK
16.8504, 1999, Nov Average, Pakistan, PAK
11.3234, 1999, Dec Average, Pakistan, PAK
9.58937, 2000, Jan Average, Pakistan, PAK
10.2385, 2000, Feb Average, Pakistan, PAK
16.0165, 2000, Mar Average, Pakistan, PAK
24.0088, 2000, Apr Average, Pakistan, PAK
28.7896, 2000, May Average, Pakistan, PAK
28.9764, 2000, Jun Average, Pakistan, PAK
28.2836, 2000, Jul Average, Pakistan, PAK
27.6537, 2000, Aug Average, Pakistan, PAK
25.4155, 2000, Sep Average, Pakistan, PAK
22.0832, 2000, Oct Average, Pakistan, PAK
15.753, 2000, Nov Average, Pakistan, PAK
11.5061, 2000, Dec Average, Pakistan, PAK
8.57782, 2001, Jan Average, Pakistan, PAK
11.7034, 2001, Feb Average, Pakistan, PAK
16.8941, 2001, Mar Average, Pakistan, PAK
22.5681, 2001, Apr Average, Pakistan, PAK
28.3372, 2001, May Average, Pakistan, PAK
28.9762, 2001, Jun Average, Pakistan, PAK
28.5291, 2001, Jul Average, Pakistan, PAK
27.7208, 2001, Aug Average, Pakistan, PAK
25.2692, 2001, Sep Average, Pakistan, PAK
21.9897, 2001, Oct Average, Pakistan, PAK
16.3373, 2001, Nov Average, Pakistan, PAK
12.4597, 2001, Dec Average, Pakistan, PAK
9.43203, 2002, Jan Average, Pakistan, PAK
10.872, 2002, Feb Average, Pakistan, PAK
17.412, 2002, Mar Average, Pakistan, PAK
23.1135, 2002, Apr Average, Pakistan, PAK
27.8393, 2002, May Average, Pakistan, PAK
29.4699, 2002, Jun Average, Pakistan, PAK
29.0707, 2002, Jul Average, Pakistan, PAK
28.1767, 2002, Aug Average, Pakistan, PAK
24.792, 2002, Sep Average, Pakistan, PAK
21.9352, 2002, Oct Average, Pakistan, PAK
16.2022, 2002, Nov Average, Pakistan, PAK
11.368, 2002, Dec Average, Pakistan, PAK
9.47909, 2003, Jan Average, Pakistan, PAK
11.7875, 2003, Feb Average, Pakistan, PAK
16.4475, 2003, Mar Average, Pakistan, PAK
